AGE,CATEGORY,COUNT
Under 10,AMERICAN CASUAL,1
10 to 19,AMERICAN CASUAL,58
20 to 29,AMERICAN CASUAL,1325
30 to 39,AMERICAN CASUAL,160
40 to 49,AMERICAN CASUAL,5
Over 50,AMERICAN CASUAL,2
Not specified,AMERICAN CASUAL,357
Under 10,CASUAL,50
10 to 19,CASUAL,2086
20 to 29,CASUAL,19722
30 to 39,CASUAL,1119
40 to 49,CASUAL,58
Over 50,CASUAL,26
Not specified,CASUAL,5101
Under 10,CHIC,0
10 to 19,CHIC,122
20 to 29,CHIC,608
30 to 39,CHIC,39
40 to 49,CHIC,0
Over 50,CHIC,0
Not specified,CHIC,78
Under 10,DANDY,0
10 to 19,DANDY,16
20 to 29,DANDY,178
30 to 39,DANDY,13
40 to 49,DANDY,1
Over 50,DANDY,3
Not specified,DANDY,11
Under 10,FORMAL,1
10 to 19,FORMAL,42
20 to 29,FORMAL,964
30 to 39,FORMAL,186
40 to 49,FORMAL,30
Over 50,FORMAL,34
Not specified,FORMAL,560
Under 10,GIRLISH,9
10 to 19,GIRLISH,488
20 to 29,GIRLISH,3494
30 to 39,GIRLISH,133
40 to 49,GIRLISH,3
Over 50,GIRLISH,4
Not specified,GIRLISH,898
Under 10,RETRO,0
10 to 19,RETRO,4
20 to 29,RETRO,93
30 to 39,RETRO,12
40 to 49,RETRO,0
Over 50,RETRO,0
Not specified,RETRO,23
Under 10,ROMANTIC,0
10 to 19,ROMANTIC,70
20 to 29,ROMANTIC,723
30 to 39,ROMANTIC,43
40 to 49,ROMANTIC,0
Over 50,ROMANTIC,0
Not specified,ROMANTIC,310
Under 10,STREET,41
10 to 19,STREET,1913
20 to 29,STREET,15629
30 to 39,STREET,1041
40 to 49,STREET,42
Over 50,STREET,34
Not specified,STREET,4692